Ubadō Station	姥堂駅（うばどう）
Ushibuchi Station	牛渕駅（うしぶち）
Ushibuchidanchi-mae Station	牛渕団地前駅（うしぶちだんちまえ）
Ushida Station (Aichi)	牛田駅 (愛知県)（うしだ）
Ushida Station (Tokyo)	牛田駅 (東京都)（うしだ）
Ushizu Station	牛津駅（うしづ）
Ushigome-Kagurazaka Station	牛込神楽坂駅（うしごめかぐらざか）
Ushigome-Yanagichō Station	牛込柳町駅（うしごめやなぎちょう）
Ushihama Station	牛浜駅（うしはま）
Ushiku Station	牛久駅（うしく）
Ushikubo Station	牛久保駅（うしくぼ）
Ushinohama Station	牛ノ浜駅（うしのはま）
Ushinoshima Station	牛島駅（うしのしま）
Ushinoya Station	牛ノ谷駅（うしのや）
Ushio Station	潮駅（うしお）
Ushirogata Station	後潟駅（うしろがた）
Ushita Station	牛田駅 (広島県)（うした）
Ushiyama Station	牛山駅（うしやま）
Usu Station	有珠駅（うす）
Usuda Station	臼田駅（うすだ）
Usugi Station	鵜杉駅（うすぎ）
Usuki Station (Kagoshima)	宇宿駅（うすき）
Usuki Station (Oita)	臼杵駅（うすき）
Utagō Station	宇田郷駅（うたごう）
Utanai Station	歌内駅（うたない）
Utano Station	宇多野駅（うたの）
Utatsu Station	歌津駅（うたつ）
Utazu Station	宇多津駅（うたづ）
Uto Station	宇土駅（うと）
Utoma Station	鵜苫駅（うとま）
Utō Station	宇頭駅（うとう）
Utsube Station	内部駅（うつべ）
Utsubo Station	打保駅（うつぼ）
Utsubuna Station	内船駅（うつぶな）
Utsuigawa Station	打井川駅（うついがわ）
Utsumi Station	内海駅 (愛知県)（うつみ）
Utsunomiya Station	宇都宮駅（うつのみや）
Utsunomiya Kamotsu Terminal Station	宇都宮貨物ターミナル駅（うつのみやかもつたーみなる）
Utsutsugawa Station	現川駅（うつつがわ）
Uwagoromo Station	上挙母駅（うわごろも）
Uwajima Station	宇和島駅（うわじま）
Uyagawa Station	敬川駅（うやがわ）
Uzen-Chitose Station	羽前千歳駅（うぜんちとせ）
Uzen-Kanezawa Station	羽前金沢駅（うぜんかねざわ）
Uzen-Komatsu Station	羽前小松駅（うぜんこまつ）
Uzen-Matsuoka Station	羽前松岡駅（うぜんまつおか）
Uzen-Mizusawa Station	羽前水沢駅（うぜんみずさわ）
Uzen-Nagasaki Station	羽前長崎駅（うぜんながさき）
Uzen-Nakayama Station	羽前中山駅（うぜんなかやま）
Uzen-Narita Station	羽前成田駅（うぜんなりた）
Uzen-Numazawa Station	羽前沼沢駅（うぜんぬまざわ）
Uzen-Ōyama Station	羽前大山駅（うぜんおおやま）
Uzen-Takamatsu Station	羽前高松駅（うぜんたかまつ）
Uzen-Toyosato Station	羽前豊里駅（うぜんとよさと）
Uzen-Tsubaki Station	羽前椿駅（うぜんつばき）
Uzen-Yamabe Station	羽前山辺駅（うぜんやまべ）
Uzen-Zennami Station	羽前前波駅（うぜんぜんなみ）
Uzui Station	宇都井駅（うづい）
Uzumasa Station	太秦駅（うずまさ）
Uzumasa-Kōryūji Station	太秦広隆寺駅（うずまさこうりゅうじ）
Uzumasa Tenjingawa Station	太秦天神川駅（うずまさてんじんがわ）
