Yoshiminosato Station	吉見ノ里駅（よしみのさと）
Yoshimizu Station	吉水駅（よしみず）
Yoshina Station	吉名駅（よしな）
Yoshinaga Station	吉永駅（よしなが）
Yoshinari Station	吉成駅（よしなり）
Yoshino Station (Fukuoka)	吉野駅 (福岡県)（よしの）
Yoshino Station (Nara)	吉野駅 (奈良県)（よしの）
Yoshinobu Station	吉野生駅（よしのぶ）
Yoshinochō Station	吉野町駅（よしのちょう）
Yoshinogarikōen Station	吉野ヶ里公園駅（よしのがりこうえん）
Yoshinoguchi Station	吉野口駅（よしのぐち）
Yoshinohara Station	吉野原駅（よしのはら）
Yoshinojingū Station	吉野神宮駅（よしのじんぐう）
Yoshio Station	吉尾駅（よしお）
Yoshioka-Kaitei Station	吉岡海底駅（よしおかかいてい）
Yoshita Station	吉田駅 (大阪府)（よした）
Yoshitomi Station (Fukuoka)	吉富駅 (福岡県)（よしとみ）
Yoshitomi Station (Kyoto)	吉富駅 (京都府)（よしとみ）
Yoshiura Station	吉浦駅（よしうら）
Yoshiwara Station	吉原駅（よしわら）
Yoshiwara-honchō Station	吉原本町駅（よしわらほんちょう）
Yoshizawa Station	吉沢駅（よしざわ）
Yotsubashi Station	四ツ橋駅（よつばし）
Yotsugi Station	四ツ木駅（よつぎ）
Yotsugoya Station	四ツ小屋駅（よつごや）
Yotsukaidō Station	四街道駅（よつかいどう）
Yotsukura Station	四ツ倉駅（よつくら）
Yotsutsuji Station	四辻駅（よつつじ）
Yotsuya Station	四ツ谷駅（よつや）
Yotsuya-Sanchōme Station	四谷三丁目駅（よつやさんちょうめ）
Yōrō Station	養老駅（ようろう）
Yōrōkeikoku Station	養老渓谷駅（ようろうけいこく）
Yōsonkōen Station	養鱒公園駅（ようそんこうえん）
Yowara Station	榎原駅（よわら）
Yoyogi Station	代々木駅（よよぎ）
Yoyogi-Hachiman Station	代々木八幡駅（よよぎはちまん）
Yoyogi-Kōen Station	代々木公園駅（よよぎこうえん）
Yoyogi-Uehara Station	代々木上原駅（よよぎうえはら）
YRP Nobi Station	YRP野比駅（ワイアールピーのび）
Yu[edit]
Yū Station	由宇駅（ゆう）
Yuasa Station	湯浅駅（ゆあさ）
Yūbari Station	夕張駅（ゆうばり）
Yūbikan Station	有備館駅（ゆうびかん）
Yubiso Station	湯檜曽駅（ゆびそ）
Yūchi Station	勇知駅（ゆうち）
Yudakinshūko Station	ゆだ錦秋湖駅（ゆだきんしゅうこ）
Yudakōgen Station	ゆだ高原駅（ゆだこうげん）
Yudamura Station	湯田村駅（ゆだむら）
Yudanaka Station	湯田中駅（ゆだなか）
Yudaonsen Station	湯田温泉駅（ゆだおんせん）
Yue Station	湯江駅（ゆえ）
Yūenchi-Nishi Station	遊園地西駅（ゆうえんちにし）
Yufuin Station	由布院駅（ゆふいん）
Yūfutsu Station	勇払駅（ゆうふつ）
Yugawara Station	湯河原駅（ゆがわら）
Yuge Station	弓削駅（ゆげ）
Yūhigaura-Kitsu-onsen Station	夕日ヶ浦木津温泉駅（ゆうひがうらきつおんせん）
Yui Station	由比駅（ゆい）
Yuigahama Station	由比ヶ浜駅（ゆいがはま）
Yukaba Station	行波駅（ゆかば）
Yūkarigaoka Station	ユーカリが丘駅（ゆーかりがおか）
Yukawa Station	湯川駅（ゆかわ）
Yuki Station (Hiroshima)	油木駅（ゆき）
Yuki Station (Tokushima)	由岐駅（ゆき）
Yūki Station	結城駅（ゆうき）
Yukigaya-Ōtsuka Station	雪が谷大塚駅（ゆきがやおおつか）
Yukuhashi Station	行橋駅（ゆくはし）
Yumegaoka Station	ゆめが丘駅（ゆめがおか）
Yumemino Station	ゆめみ野駅（ゆめみの）
Yumesakigawa Station	夢前川駅（ゆめさきがわ）
Yumigahama Station	弓ヶ浜駅（ゆみがはま）
Yumoto Station	湯本駅（ゆもと）
Yuni Station	由仁駅（ゆに）
Yunishigawaonsen Station	湯西川温泉駅（ゆにしがわおんせん）
Yuno Station	湯野駅（ゆの）
Yunohira Station	湯平駅（ゆのひら）
Yunohora-Onsen-guchi Station	湯の洞温泉口駅（ゆのほらおんせんぐち）
Yunokamionsen Station	湯野上温泉駅（ゆのかみおんせん）
Yunoki Station (Shizuoka, Shizuoka)	柚木駅 (静岡県静岡市)（ゆのき）
Yunoki Station (Fuji, Shizuoka)	柚木駅 (静岡県富士市)（ゆのき）
Yunomae Station	湯前駅（ゆのまえ）
Yunomoto Station	湯之元駅（ゆのもと）
Yunoo Station	湯尾駅（ゆのお）
Yunotai Station	湯ノ岱駅（ゆのたい）
Yunotō Station	湯ノ峠駅（ゆのとう）
Yunotsu Station	温泉津駅（ゆのつ）
Yunoura Station	湯浦駅（ゆのうら）
Yunoyamaonsen Station	湯の山温泉駅（ゆのやまおんせん）
Yura Station	由良駅（ゆら）
Yūrakuchō Station	有楽町駅（ゆうらくちょう）
Yurigahara Station	百合が原駅（ゆりがはら）
Yurigaoka Station	百合ヶ丘駅（ゆりがおか）
Yusato Station	湯里駅（ゆさと）
Yushima Station (Iwate)	油島駅（ゆしま）
Yushima Station (Tokyo)	湯島駅（ゆしま）
Yusu Station	柚須駅（ゆす）
Yusubaru Station	油須原駅（ゆすばる）
Yutama Station	湯玉駅（ゆたま）
Yūtari Station	勇足駅（ゆうたり）
Yūtenji Station	祐天寺駅（ゆうてんじ）
Yuyaonsen Station	湯谷温泉駅（ゆやおんせん）
Yuza Station	遊佐駅（ゆざ）
Yūzaki Station	結崎駅（ゆうざき）
Yuzawa Station	湯沢駅（ゆざわ）
Yuze-Onsen Station	湯瀬温泉駅（ゆぜおんせん）
