Ishigamimae Station	石神前駅（いしがみまえ）
Ishige Station	石下駅（いしげ）
Ishihama Station	石浜駅（いしはま）
Ishiharamachi Station	石原町駅（いしはらまち）
Ishii Station (Hyogo)	石井駅 (兵庫県)（いしい）
Ishii Station (Tokushima)	石井駅 (徳島県)（いしい）
Ishiji Station	石地駅（いしじ）
Ishikari-Futomi Station	石狩太美駅（いしかりふとみ）
Ishikari-Kanazawa Station	石狩金沢駅（いしかりかなざわ）
Ishikari-Numata Station	石狩沼田駅（いしかりぬまた）
Ishikari-Tōbetsu Station	石狩当別駅（いしかりとうべつ）
Ishikari-Tsukigata Station	石狩月形駅（いしかりつきがた）
Ishikawa Pool Mae Station	石川プール前駅（いしかわぷーるまえ）
Ishikawa Station (JR East)	石川駅 (JR東日本)（いしかわ）
Ishikawa Station (Kōnan Railway)	石川駅 (弘南鉄道)（いしかわ）
Ishikawachō Station	石川町駅（いしかわちょう）
Ishikawadai Station	石川台駅（いしかわだい）
Ishikiri Station	石切駅（いしきり）
Ishikoshi Station	石越駅（いしこし）
Ishikura Station	石倉駅（いしくら）
Ishimine Station	石嶺駅（いしみね）
Ishinden Station	一身田駅（いしんでん）
Ishino Station	石野駅（いしの）
Ishinomaki Station	石巻駅（いしのまき）
Ishinomakiayumino Station	石巻あゆみ野駅（いしのまきあゆみの）
Ishioka Station	石岡駅（いしおか）
Ishiokaminamidai Station	石岡南台駅（いしおかみなみだい）
Ishitegawakōen Station	石手川公園駅（いしてがわこうえん）
Ishiuchi Station	石打駅（いしうち）
Ishiuchi Dam Station	石打ダム駅（いしうちだむ）
Ishiwara Station	石原駅 (埼玉県)（いしわら）
Ishiya Station	石谷駅（いしや）
Ishiyagawa Station	石屋川駅（いしやがわ）
Ishiyama Station	石山駅（いしやま）
Ishiyamadera Station	石山寺駅（いしやまでら）
Ishizai Station	石才駅（いしざい）
Ishizu Station (Gifu)	石津駅 (岐阜県)（いしづ）
Ishizu Station (Osaka)	石津駅 (大阪府)（いしづ）
Ishizuchiyama Station	石鎚山駅（いしづちやま）
Ishizugawa Station	石津川駅（いしづがわ）
Island Center Station	アイランドセンター駅（あいらんどせんたー）
Island kitaguchi Station	アイランド北口駅（あいらんどきたぐち）
Isō Station	石生駅（いそう）
Isobe Station (Gunma)	磯部駅 (群馬県)（いそべ）
Isobe Station (Ishikawa)	磯部駅 (石川県)（いそべ）
Isobunnai Station	磯分内駅（いそぶんない）
Isogo Station	磯子駅（いそご）
Isohara Station	磯原駅（いそはら）
Isoichi Station	五十市駅（いそいち）
Isonoura Station	磯ノ浦駅（いそのうら）
Isotake Station	五十猛駅（いそたけ）
Isoyama Station	磯山駅（いそやま）
Isozaki Station	磯崎駅（いそざき）
Issha Station	一社駅（いっしゃ）
Isshōchi Station	一勝地駅（いっしょうち）
Isurugi Station	石動駅（いするぎ）
Isuzugaoka Station	五十鈴ヶ丘駅（いすずがおか）
Isuzugawa Station	五十鈴川駅（いすずがわ）
It - Iz[edit]
Itabashi Station	板橋駅（いたばし）
Itabashi-honchō Station	板橋本町駅（いたばしほんちょう）
Itabashi-kuyakusho-mae Station	板橋区役所前駅（いたばしくやくしょまえ）
